,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
925,Wheelseye Techno...,4.0,(529 Reviews),Private,"Gurgaon,Haryana + 119 more",5 years old,11-50 Employees (India)
926,HT Media,3.9,(725 Reviews),Public,"Delhi/NCR,Delhi + 36 more",98 years old,1k-5k Employees (India)
927,Everest Industri...,4.2,(528 Reviews),Public,"Noida,Uttar Pradesh + 60 more",88 years old,1k-5k Employees (India)
928,Crowne Plaza,4.2,(1.4k Reviews),Public,"Atlanta,Georgia + 28 more",39 years old,501-1k Employees (India)
929,IHS Markit,4.1,(525 Reviews),Private,London + 10 more,63 years old,1k-5k Employees (India)
930,Musashi Auto Par...,3.9,(525 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",84 years old,1k-5k Employees (India)
931,Iris Software,4.4,(525 Reviews),Private,"Edison,New Jersey + 5 more",31 years old,1k-5k Employees (India)
932,Secure Meters,4.1,(523 Reviews),Public,"Chandlers Ford,Eastleigh + 43 more",35 years old,1k-5k Employees (India)
933,Shadowfax Techno...,3.5,(604 Reviews),Public,"Bangalore,Karnataka + 88 more",7 years old,1k-5k Employees (India)
934,EPAM Systems,3.9,(527 Reviews),"Newtown,Pennsylvania + 11 more",29 years old,5k-10k Employees (India),
935,GVPR Engineers,4.2,(520 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 45 more",25 years old,501-1k Employees (India)
936,UpGrad,3.2,(524 Reviews),Private,"San Francisco,California + 26 more",7 years old,1k-5k Employees (India)
937,Jacobs Engineeri...,4.1,(528 Reviews),Private,"Dallas,TX + 26 more",75 years old,201-500 Employees (India)
938,Colliers Interna...,4.1,(517 Reviews),Private,Ontario + 26 more,27 years old,1k-5k Employees (India)
939,Atlas Copco,4.4,(517 Reviews),Public,"Nacka Municipality,Stockholm + 43 more",149 years old,1k-5k Employees (India)
940,Aristo Pharmaceu...,4.1,(516 Reviews),Private,"Mumbai,Maharashtra + 58 more",51 years old,1k-5k Employees (India)
941,Godfrey Phillips...,4.2,(516 Reviews),Public,"Delhi/NCR,New Delhi + 66 more",89 years old,1k-5k Employees (India)
942,Barclays Global ...,4.2,(515 Reviews),Private,Pune + 9 more,15 years old,201-500 Employees (India)
943,Bridge & Roof Co,3.7,(514 Reviews),Central Public Sector Enterprises (CPSE),"Kolkata,West Bengal + 53 more",102 years old,1k-5k Employees (India)
944,Dixon Technologi...,4.0,(514 Reviews),Public,"Noida,Uttar Pradesh + 22 more",29 years old,1k-5k Employees (India)
945,Shriram General ...,3.7,(514 Reviews),Private,"Jaipur,Rajasthan + 122 more",14 years old,10k-50k Employees (India)
946,OLX,4.0,(513 Reviews),Private,"Gurgaon,Haryana + 41 more",16 years old,1k-5k Employees (India)
947,HARMAN,3.9,(1.6k Reviews),Public,"Stamford,Connecticut + 15 more",13 years old,5k-10k Employees (India)
948,HCL Comnet,3.9,(512 Reviews),Noida + 37 more,,,
949,Genius Consultan...,3.9,(512 Reviews),Private,"Kolkata,West Bengal + 61 more",29 years old,201-500 Employees (India)
950,Medha Servo Driv...,4.2,(512 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 34 more",38 years old,501-1k Employees (India)
951,Natco Pharma,4.1,(512 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 29 more",41 years old,1k-5k Employees (India)
952,MakeMyTrip,4.0,(749 Reviews),Public,"Gurgaon,Haryana + 33 more",22 years old,1k-5k Employees (India)
953,GE Power,4.2,(715 Reviews),Public,"Schenectady,Düsseldorf + 44 more",30 years old,1k-5k Employees (India)
954,Visionary RCM In...,3.5,(511 Reviews),Private,"Chennai,Tamil Nadu + 10 more",16 years old,1k-5k Employees (India)
955,Alok Industries,4.0,(511 Reviews),Public,"Mumbai,Maharashtra + 21 more",36 years old,1k-5k Employees (India)
956,Vedanta Aluminiu...,4.0,(511 Reviews),Private,"Jharsuguda,Odisha + 20 more",19 years old,1k-5k Employees (India)
